feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,169.92162434041344
original_glcm_ClusterProminence,glcm,ClusterProminence,11902.65000259806
original_glcm_ClusterShade,glcm,ClusterShade,9.751715392068766
original_glcm_ClusterTendency,glcm,ClusterTendency,68.3554861896383
original_glcm_Contrast,glcm,Contrast,8.467838719800294
original_glcm_Correlation,glcm,Correlation,0.7797121051660773
original_glcm_DifferenceAverage,glcm,DifferenceAverage,2.0931637553781
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,2.150434809327351
original_glcm_DifferenceVariance,glcm,DifferenceVariance,3.1118913507902013
original_glcm_Id,glcm,Id,0.5158230539146993
original_glcm_Idm,glcm,Idm,0.4591043215392877
original_glcm_Idmn,glcm,Idmn,0.9858522273497745
original_glcm_Idn,glcm,Idn,0.9251303985590233
original_glcm_Imc1,glcm,Imc1,-0.33748431450055083
original_glcm_Imc2,glcm,Imc2,0.9453640072356653
original_glcm_InverseVariance,glcm,InverseVariance,0.32377174764524774
original_glcm_JointAverage,glcm,JointAverage,12.447873449773425
original_glcm_JointEnergy,glcm,JointEnergy,0.012449248158471617
original_glcm_JointEntropy,glcm,JointEntropy,6.8724617870109705
original_glcm_MCC,glcm,MCC,0.7904842278310593
original_glcm_MaximumProbability,glcm,MaximumProbability,0.03137150825426341
original_glcm_SumAverage,glcm,SumAverage,24.89574689954685
original_glcm_SumEntropy,glcm,SumEntropy,5.056880333605209
original_glcm_SumSquares,glcm,SumSquares,19.205831227359653
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.812106829922496
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,1012.3171697179614
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.08348319064142845
original_gldm_DependenceVariance,gldm,DependenceVariance,10.854265328678597
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,772.3191489361702
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,19.627500671994582
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,173.9250371103414
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,70.94936500082467
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,12694.361949529935
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,0.9034804181031822
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.014779347087709394
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.04514063841825809
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,7.905317127774201
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0009563463363454144
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,566.8177217301836
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.06307974287354887
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,19.71497654632604
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,172.96325879830283
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,2.5815369386053098
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,453.67483399444853
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.03591071232854489
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.015295098217668076
original_glrlm_RunEntropy,glrlm,RunEntropy,5.213669662906587
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,5354.2294514268815
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.5749813065630317
original_glrlm_RunPercentage,glrlm,RunPercentage,0.7403037338712746
original_glrlm_RunVariance,glrlm,RunVariance,0.5532550723504595
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.7718696007497581
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,133.02077255839507
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.012109075494839602
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,26.18709677419355
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.05631633714880333
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,25.00783905653833
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,171.33978494623656
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,3179.5827956989247
