feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,10.12761111249288
original_glcm_ClusterProminence,glcm,ClusterProminence,23.3640441776485
original_glcm_ClusterShade,glcm,ClusterShade,0.19341743154595012
original_glcm_ClusterTendency,glcm,ClusterTendency,2.9395373118976953
original_glcm_Contrast,glcm,Contrast,0.3080968348584054
original_glcm_Correlation,glcm,Correlation,0.8103136459577382
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.29771699437764265
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,0.770296415172746
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.17808272226849117
original_glcm_Id,glcm,Id,0.8528714762246391
original_glcm_Idm,glcm,Idm,0.8521794868592549
original_glcm_Idmn,glcm,Idmn,0.9882327199363273
original_glcm_Idn,glcm,Idn,0.9506276399961254
original_glcm_Imc1,glcm,Imc1,-0.47998963998537064
original_glcm_Imc2,glcm,Imc2,0.8753758178767238
original_glcm_InverseVariance,glcm,InverseVariance,0.2886346339569753
original_glcm_JointAverage,glcm,JointAverage,3.0772950224262643
original_glcm_JointEnergy,glcm,JointEnergy,0.18793707122368236
original_glcm_JointEntropy,glcm,JointEntropy,2.872332422922642
original_glcm_MCC,glcm,MCC,0.8122374418563442
original_glcm_MaximumProbability,glcm,MaximumProbability,0.30509397353622314
original_glcm_SumAverage,glcm,SumAverage,6.154590044852529
original_glcm_SumEntropy,glcm,SumEntropy,2.546740265268404
original_glcm_SumSquares,glcm,SumSquares,0.8119085366890253
original_gldm_DependenceEntropy,gldm,DependenceEntropy,4.97006976730028
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,12328.833085931057
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.20334542447519474
original_gldm_DependenceVariance,gldm,DependenceVariance,32.74559202158195
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,18388.531255154216
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,0.8289941974651829
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,10.275771070427181
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,487.40643245917863
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,5011.629457364341
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,73.46867378177289
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.15496456191471034
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0037885137738643414
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.03998873784974959
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.000652407024005457
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,3819.4210677911515
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.2889866566826976
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,0.9031244633495874
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,10.28897658464743
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,41.300703043935066
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,421.74238106262885
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,6.065254788207875
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.16425846443448242
original_glrlm_RunEntropy,glrlm,RunEntropy,5.076102124676666
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,1956.6257183919313
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.15650190061435115
original_glrlm_RunPercentage,glrlm,RunPercentage,0.21835471142744772
original_glrlm_RunVariance,glrlm,RunVariance,14.54375621896935
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.2779802646231755
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,2.9093566166492693
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.04700987932394292
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,9.777777777777779
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.2716049382716049
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,2.8395061728395063
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,13.222222222222221
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,30407579.166666668
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,294950301.3888889
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,3836850.897183642
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.32593364197530866
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,10.333333333333334
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.28703703703703703
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.021714208569028354
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,0.29034335954567275
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.006168938211890549
original_glszm_ZoneEntropy,glszm,ZoneEntropy,3.8497642393497937
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0005937654626422563
original_glszm_ZoneVariance,glszm,ZoneVariance,27571161.805555556
original_ngtdm_Busyness,ngtdm,Busyness,69.65248819256081
original_ngtdm_Coarseness,ngtdm,Coarseness,0.001106897554867797
original_ngtdm_Complexity,ngtdm,Complexity,2.36778075937785
original_ngtdm_Contrast,ngtdm,Contrast,0.021187932334538973
original_ngtdm_Strength,ngtdm,Strength,0.009145497129212362
