feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,49.84003115740971
original_glcm_ClusterProminence,glcm,ClusterProminence,382.98078063438663
original_glcm_ClusterShade,glcm,ClusterShade,-41.81872133940332
original_glcm_ClusterTendency,glcm,ClusterTendency,9.610894379682453
original_glcm_Contrast,glcm,Contrast,0.5489103629295176
original_glcm_Correlation,glcm,Correlation,0.8919478665578218
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.34324086731310094
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,0.9823418383543339
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.3973716301959005
original_glcm_Id,glcm,Id,0.8614230334406012
original_glcm_Idm,glcm,Idm,0.8489465159050913
original_glcm_Idmn,glcm,Idmn,0.9918691320317501
original_glcm_Idn,glcm,Idn,0.9641174083587933
original_glcm_Imc1,glcm,Imc1,-0.5110578894506843
original_glcm_Imc2,glcm,Imc2,0.9150935509016435
original_glcm_InverseVariance,glcm,InverseVariance,0.17494189027555207
original_glcm_JointAverage,glcm,JointAverage,6.897428059488115
original_glcm_JointEnergy,glcm,JointEnergy,0.2934768721110139
original_glcm_JointEntropy,glcm,JointEntropy,2.9823736579946454
original_glcm_MCC,glcm,MCC,0.8930146954736
original_glcm_MaximumProbability,glcm,MaximumProbability,0.5244297553774737
original_glcm_SumAverage,glcm,SumAverage,13.79485611897623
original_glcm_SumEntropy,glcm,SumEntropy,2.529081613264594
original_glcm_SumSquares,glcm,SumSquares,2.5399511856529924
original_gldm_DependenceEntropy,gldm,DependenceEntropy,4.726349419603384
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,65540.01063095203
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.23570795318551674
original_gldm_DependenceVariance,gldm,DependenceVariance,39.43197508572353
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,101639.12308311995
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,2.584224553079384
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,50.00748050752367
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,500.3264234542682
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,27505.06622406997
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,13.814011950671023
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.0342146988739344
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.004285590233371041
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.16958689945125707
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.00020913616946994116
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,10540.575421883561
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1774453556373114
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,2.937361753730964
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,38.44534628610482
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,103.27366617571944
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,6288.743906773303
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,2.019682288510105
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.04968150888515922
original_glrlm_RunEntropy,glrlm,RunEntropy,5.2619560844881
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,13305.821939443575
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.21958619874624236
original_glrlm_RunPercentage,glrlm,RunPercentage,0.21275183084315058
original_glrlm_RunVariance,glrlm,RunVariance,74.56859417289988
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.35154191701162774
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,12.071697076503359
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.01930307440907337
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,61.97547683923706
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.16887050909873857
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,3.1098159463653303
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,27.67574931880109
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,70682735.08446866
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,4467919497.133515
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,1136915.43205322
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.08452180145446007
