feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,42.49436785171238
original_glcm_ClusterProminence,glcm,ClusterProminence,390.60422993064884
original_glcm_ClusterShade,glcm,ClusterShade,-12.188286149508485
original_glcm_ClusterTendency,glcm,ClusterTendency,13.670836772425519
original_glcm_Contrast,glcm,Contrast,1.2465807488814362
original_glcm_Correlation,glcm,Correlation,0.8328270456004236
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.7286432798652187
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.3819997210095682
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.5988681544546147
original_glcm_Id,glcm,Id,0.7189018969877033
original_glcm_Idm,glcm,Idm,0.6874721069690123
original_glcm_Idmn,glcm,Idmn,0.9853005711772913
original_glcm_Idn,glcm,Idn,0.9317878421939458
original_glcm_Imc1,glcm,Imc1,-0.39955839543481797
original_glcm_Imc2,glcm,Imc2,0.9209971133161226
original_glcm_InverseVariance,glcm,InverseVariance,0.30471986553193486
original_glcm_JointAverage,glcm,JointAverage,6.276009995977277
original_glcm_JointEnergy,glcm,JointEnergy,0.056989389933640264
original_glcm_JointEntropy,glcm,JointEntropy,4.562350288331699
original_glcm_MCC,glcm,MCC,0.8384028055078393
original_glcm_MaximumProbability,glcm,MaximumProbability,0.10555856321733
original_glcm_SumAverage,glcm,SumAverage,12.552019991954554
original_glcm_SumEntropy,glcm,SumEntropy,3.5942639018371776
original_glcm_SumSquares,glcm,SumSquares,3.729354380326739
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.608502209000386
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,4445.2414957876335
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.08832541519209254
original_gldm_DependenceVariance,gldm,DependenceVariance,19.8641307728028
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,7328.7532188841205
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.7655324166773863
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,43.1620569066921
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,208.42862819901447
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,9685.49690033381
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,7.615323161864042
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.03944131497690094
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.014247954438281637
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.5448429207650596
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0007058108866067401
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,3713.3551245870995
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1446748436943874
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.6113659430571903
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,41.21101548524231
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,13.125385602325537
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,652.9696731839965
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.44589246905106045
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.041423283179114354
original_glrlm_RunEntropy,glrlm,RunEntropy,4.581390135511818
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,11368.767468348842
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.38768167462881215
original_glrlm_RunPercentage,glrlm,RunPercentage,0.510312350977587
original_glrlm_RunVariance,glrlm,RunVariance,5.779518904900078
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.5129301963894586
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,20.608655354955204
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.022051081571588124
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,50.24277456647399
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.14521033111697684
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,3.806082729125597
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,35.471098265895954
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,409410.71098265896
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,23140165.023121387
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,9751.72485664141
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.059905981981745814
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,111.66473988439306
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.32273046209362155
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.5870635382000745
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,20.529464360304647
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.03617210707496531
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.433046484708739
original_glszm_ZonePercentage,glszm,ZonePercentage,0.006874900651724686
original_glszm_ZoneVariance,glszm,ZoneVariance,388253.0747101473
original_ngtdm_Busyness,ngtdm,Busyness,92.08376007210862
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0002291443271939444
original_ngtdm_Complexity,ngtdm,Complexity,19.94802502769294
