size_label,spacing_z,spacing_y,spacing_x,h,q_z,q_y,q_x,expansion_factor_R,represented_spacing_z,represented_spacing_y,represented_spacing_x,absolute_spacing_error_z,relative_spacing_error_z,input_shape,expanded_shape,success,failure_reason,feature_families,number_of_mask_voxels_before,number_of_mask_voxels_after,extraction_time_seconds,peak_memory_mb
small,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,0.0,0.0,16x64x64,16x64x64,True,,"glcm,glrlm,gldm,glszm,ngtdm",12126,12126,1.1196689582429826,0.7464828491210938
small,2.0,1.0,1.0,1.0,2,1,1,2,2.0,1.0,1.0,0.0,0.0,16x64x64,32x64x64,True,,"glcm,glrlm,gldm,glszm,ngtdm",12126,24252,1.1622239160351455,1.0464906692504883
small,3.0,1.0,1.0,1.0,3,1,1,3,3.0,1.0,1.0,0.0,0.0,16x64x64,48x64x64,True,,"glcm,glrlm,gldm,glszm,ngtdm",12126,36378,1.1345971669070423,1.5897293090820312
small,5.0,1.0,1.0,1.0,5,1,1,5,5.0,1.0,1.0,0.0,0.0,16x64x64,80x64x64,True,,"glcm,glrlm,gldm,glszm,ngtdm",12126,60630,1.1415492920204997,2.764799118041992
small,0.7,0.7,5.0,0.7,1,1,7,7,0.7,0.7,4.8999999999999995,0.0,0.0,16x64x64,16x64x448,True,,"glcm,glrlm,gldm,glszm,ngtdm",12126,84882,1.118040207773447,3.5313072204589844
medium,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,0.0,0.0,32x96x96,32x96x96,True,,"glcm,glrlm,gldm,glszm,ngtdm",50328,50328,1.2053103330545127,2.83441162109375
medium,2.0,1.0,1.0,1.0,2,1,1,2,2.0,1.0,1.0,0.0,0.0,32x96x96,64x96x96,True,,"glcm,glrlm,gldm,glszm,ngtdm",50328,100656,1.316726166754961,4.325512886047363
medium,3.0,1.0,1.0,1.0,3,1,1,3,3.0,1.0,1.0,0.0,0.0,32x96x96,96x96x96,True,,"glcm,glrlm,gldm,glszm,ngtdm",50328,150984,1.2708626249805093,6.0546064376831055
medium,5.0,1.0,1.0,1.0,5,1,1,5,5.0,1.0,1.0,0.0,0.0,32x96x96,160x96x96,True,,"glcm,glrlm,gldm,glszm,ngtdm",50328,251640,1.3605395001359284,9.537707328796387
medium,0.7,0.7,5.0,0.7,1,1,7,7,0.7,0.7,4.8999999999999995,0.0,0.0,32x96x96,32x96x672,True,,"glcm,glrlm,gldm,glszm,ngtdm",50328,352296,1.3600401668809354,13.557628631591797
large,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,0.0,0.0,48x128x128,48x128x128,True,,"glcm,glrlm,gldm,glszm,ngtdm",139028,139028,1.4676672499626875,11.598907470703125
large,2.0,1.0,1.0,1.0,2,1,1,2,2.0,1.0,1.0,0.0,0.0,48x128x128,96x128x128,True,,"glcm,glrlm,gldm,glszm,ngtdm",139028,278056,1.5768899167887866,24.80672836303711
large,3.0,1.0,1.0,1.0,3,1,1,3,3.0,1.0,1.0,0.0,0.0,48x128x128,144x128x128,True,,"glcm,glrlm,gldm,glszm,ngtdm",139028,417084,1.630909999832511,39.894057273864746
large,5.0,1.0,1.0,1.0,5,1,1,5,5.0,1.0,1.0,0.0,0.0,48x128x128,240x128x128,True,,"glcm,glrlm,gldm,glszm,ngtdm",139028,695140,1.6562424581497908,59.12557125091553
large,0.7,0.7,5.0,0.7,1,1,7,7,0.7,0.7,4.8999999999999995,0.0,0.0,48x128x128,48x128x896,True,,"glcm,glrlm,gldm,glszm,ngtdm",139028,973196,1.7421935410238802,90.54822158813477
