feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,34.82003942914707
original_glcm_ClusterProminence,glcm,ClusterProminence,335.9259339303097
original_glcm_ClusterShade,glcm,ClusterShade,0.5377127984694643
original_glcm_ClusterTendency,glcm,ClusterTendency,11.41580404984424
original_glcm_Contrast,glcm,Contrast,1.162494232467195
original_glcm_Correlation,glcm,Correlation,0.815171766154356
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.687195806894347
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.2612558500669224
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.5092177729082759
original_glcm_Id,glcm,Id,0.73231656984827
original_glcm_Idm,glcm,Idm,0.7039319391101113
original_glcm_Idmn,glcm,Idmn,0.9888027652890099
original_glcm_Idn,glcm,Idn,0.9410822187142938
original_glcm_Imc1,glcm,Imc1,-0.42764279227239094
original_glcm_Imc2,glcm,Imc2,0.9171718652744301
original_glcm_InverseVariance,glcm,InverseVariance,0.3024945880924744
original_glcm_JointAverage,glcm,JointAverage,5.679496399783591
original_glcm_JointEnergy,glcm,JointEnergy,0.06489552148258754
original_glcm_JointEntropy,glcm,JointEntropy,4.4943476586567686
original_glcm_MCC,glcm,MCC,0.8188539632931057
original_glcm_MaximumProbability,glcm,MaximumProbability,0.12225341622629365
original_glcm_SumAverage,glcm,SumAverage,11.358992799567183
original_glcm_SumEntropy,glcm,SumEntropy,3.6101356562049096
original_glcm_SumSquares,glcm,SumSquares,3.144574570577859
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.825619883756327
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,2958.7841002803893
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.08133443565562673
original_gldm_DependenceVariance,gldm,DependenceVariance,36.6724175027339
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,5586.737753587333
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.21957126786478
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.369948870196275
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,341.896695805157
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,12139.89136291165
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,16.021546190351593
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.05113663856083726
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.007001174095713986
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.24661370540647676
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.00048598891808643703
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1974.8191940132456
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.14805940703627082
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.4481956648091128
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.28607639334248
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,13.261844954759253
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,472.61621035594237
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.6230328341154887
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.05604713243507325
original_glrlm_RunEntropy,glrlm,RunEntropy,5.239559587241313
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,3296.8980358328186
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.24767398381455086
original_glrlm_RunPercentage,glrlm,RunPercentage,0.3665127274726483
original_glrlm_RunVariance,glrlm,RunVariance,4.223105658097523
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.40338319628973945
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,14.299557557379343
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.0253822566179539
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.811023622047244
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.1323702647405295
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.33746667493335
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,34.25984251968504
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,740474.3622047245
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,23940699.023622047
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,27760.99554988662
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.10456737550663309
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,27.125984251968504
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.21359042718085436
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.0528926870031666
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,1.5653661490218318
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.005326476358333272
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.534987175729453
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0034911210072021553
original_glszm_ZoneVariance,glszm,ZoneVariance,658425.9472998946
original_ngtdm_Busyness,ngtdm,Busyness,18.41186689139185
original_ngtdm_Coarseness,ngtdm,Coarseness,0.001076244376502062
original_ngtdm_Complexity,ngtdm,Complexity,19.911660740584367
original_ngtdm_Contrast,ngtdm,Contrast,0.03687785042171317
original_ngtdm_Strength,ngtdm,Strength,0.03679375742249351
