comparison,family,n_features,n_changed,median_abs_diff,median_rel_diff,spearman_corr
z2_vs_z2.5,glcm,24,24,0.012047642909299772,0.013008710734280893,0.9991304347826085
z2_vs_z2.5,gldm,14,0,0.0,0.0,1.0
z2_vs_z2.5,glrlm,16,0,0.0,0.0,1.0
z2_vs_z2.5,glszm,16,0,0.0,0.0,1.0
z2_vs_z2.5,ngtdm,5,5,0.0028826349367764015,0.0690514277403488,0.9999999999999999
z2.5_vs_z3,glcm,24,24,0.0107641747520823,0.01185835078908094,0.9991304347826085
z2.5_vs_z3,gldm,14,11,0.022653429077050105,0.14510635457444349,0.9956043956043955
z2.5_vs_z3,glrlm,16,16,0.08605250731239869,0.08465876249649616,1.0
z2.5_vs_z3,glszm,16,8,0.0009002693935895002,0.1666666666666636,0.9970588235294118
z2.5_vs_z3,ngtdm,5,5,0.002443886884653898,0.06284877910789673,0.9999999999999999
z3_vs_z3.5,glcm,24,24,0.009558499405980025,0.011202125511469777,0.9991304347826085
z3_vs_z3.5,gldm,14,11,0.07701451752627582,0.06810069424622611,1.0
z3_vs_z3.5,glrlm,16,16,0.07455894721400003,0.04737997492350895,0.9970588235294118
z3_vs_z3.5,glszm,16,8,0.00045013469679480007,0.12500000000001044,0.9970588235294118
z3_vs_z3.5,ngtdm,5,5,0.0021738512064986004,0.056625848340419366,0.8999999999999998
z5_vs_z5.5,glcm,24,24,0.006051544154783317,0.007201577552006896,0.9965217391304346
z5_vs_z5.5,gldm,14,11,0.05268937839090937,0.025503469561572387,1.0
z5_vs_z5.5,glrlm,16,16,0.029713209110599936,0.019305282245760516,1.0
z5_vs_z5.5,glszm,16,8,0.0001800538787179,0.08333333333333333,1.0
z5_vs_z5.5,ngtdm,5,5,0.0016562561928036013,0.03615935019114462,0.9999999999999999
