feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,34.845660563310936
original_glcm_ClusterProminence,glcm,ClusterProminence,340.0067769811122
original_glcm_ClusterShade,glcm,ClusterShade,0.4355424431619389
original_glcm_ClusterTendency,glcm,ClusterTendency,11.520672783145317
original_glcm_Contrast,glcm,Contrast,0.9621819444558545
original_glcm_Correlation,glcm,Correlation,0.8458788751342227
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.5895053843517924
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.15836677886383
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.43891241625054767
original_glcm_Id,glcm,Id,0.7647233467142022
original_glcm_Idm,glcm,Idm,0.7425149638345101
original_glcm_Idmn,glcm,Idmn,0.9907191537730899
original_glcm_Idn,glcm,Idn,0.949195031477517
original_glcm_Imc1,glcm,Imc1,-0.47553215333299803
original_glcm_Imc2,glcm,Imc2,0.9323626779466265
original_glcm_InverseVariance,glcm,InverseVariance,0.2883157604624999
original_glcm_JointAverage,glcm,JointAverage,5.675034134624464
original_glcm_JointEnergy,glcm,JointEnergy,0.07210299367720145
original_glcm_JointEntropy,glcm,JointEntropy,4.346728307124056
original_glcm_MCC,glcm,MCC,0.8489523197437179
original_glcm_MaximumProbability,glcm,MaximumProbability,0.13583791032228845
original_glcm_SumAverage,glcm,SumAverage,11.350068269248927
original_glcm_SumEntropy,glcm,SumEntropy,3.6039959760023863
original_glcm_SumSquares,glcm,SumSquares,3.1207136819002925
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.547990036818396
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,6159.373445489032
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.1015895339846451
original_gldm_DependenceVariance,gldm,DependenceVariance,37.52932242026646
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,9357.709054923305
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.1938512244120774
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,383.72251360712517
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,13645.63585683655
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,17.924322315846855
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.050969543965838325
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0060947868511182675
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.21696050956877377
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0003718428198154253
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,2899.054701944491
