variant,method,weightingNorm,binWidth,n_features,image_spacing_xyz,mask_spacing_xyz,radiomics_file,cmatrices_file,cshape_file,image,mask,extraction_time_seconds,peak_memory_mb
original,native_original,default,25.0,75,"[1.0, 1.0, 2.0]","[1.0, 1.0, 2.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_native_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_native_mask.nii.gz,0.7587363752536476,
original,resample_nearest,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_nearest_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_nearest_mask.nii.gz,0.7054033749736845,
original,resample_linear,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_linear_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_linear_mask.nii.gz,0.7403456661850214,
original,resample_bspline,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_bspline_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_resample_bspline_mask.nii.gz,0.7802580003626645,
modified,voxel_spacing_aware,voxelSpacing,25.0,75,"[1.0, 1.0, 2.0]","[1.0, 1.0, 2.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_native_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/mild_z2_native_mask.nii.gz,1.0954637504182756,
original,native_original,default,25.0,75,"[1.0, 1.0, 3.0]","[1.0, 1.0, 3.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_native_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_native_mask.nii.gz,0.7130942917428911,
original,resample_nearest,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_nearest_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_nearest_mask.nii.gz,0.761309334076941,
original,resample_linear,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_linear_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_linear_mask.nii.gz,0.7430877923034132,
original,resample_bspline,default,25.0,75,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/original/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_bspline_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_resample_bspline_mask.nii.gz,0.7746242079883814,
modified,voxel_spacing_aware,voxelSpacing,25.0,75,"[1.0, 1.0, 3.0]","[1.0, 1.0, 3.0]",<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/__init__.py,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/_cmatrices.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/additional_validation_runtime/build_sources/modified/radiomics/_cshape.cpython-310-darwin.so,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_native_image.nii.gz,<REPOSITORY_ROOT>/experiments/resampling_baseline_comparison/data/moderate_z3_native_mask.nii.gz,1.0854640840552747,
