feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,60.301321375887376
original_glcm_ClusterProminence,glcm,ClusterProminence,453.9731669351298
original_glcm_ClusterShade,glcm,ClusterShade,-2.9464321518567704
original_glcm_ClusterTendency,glcm,ClusterTendency,13.099824275878387
original_glcm_Contrast,glcm,Contrast,1.6997200290651984
original_glcm_Correlation,glcm,Correlation,0.7657056772590904
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.7435118350439841
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.46460731892236
original_glcm_DifferenceVariance,glcm,DifferenceVariance,1.0447055106952368
original_glcm_Id,glcm,Id,0.7184020762407678
original_glcm_Idm,glcm,Idm,0.7038073339939714
original_glcm_Idmn,glcm,Idmn,0.9908338529375942
original_glcm_Idn,glcm,Idn,0.950763782945301
original_glcm_Imc1,glcm,Imc1,-0.3922011294785526
original_glcm_Imc2,glcm,Imc2,0.9273736169345818
original_glcm_InverseVariance,glcm,InverseVariance,0.4217200377240005
original_glcm_JointAverage,glcm,JointAverage,7.579461121139233
original_glcm_JointEnergy,glcm,JointEnergy,0.05459071475316056
original_glcm_JointEntropy,glcm,JointEntropy,4.780625029349227
original_glcm_MCC,glcm,MCC,0.8307961463769
original_glcm_MaximumProbability,glcm,MaximumProbability,0.11067521771439913
original_glcm_SumAverage,glcm,SumAverage,15.158922242278468
original_glcm_SumEntropy,glcm,SumEntropy,3.8107900905168455
original_glcm_SumSquares,glcm,SumSquares,3.699886076235896
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.2272073825394925
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,1422.7408048820716
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.058664885571584675
original_gldm_DependenceVariance,gldm,DependenceVariance,28.792163746111974
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,3385.7044367474846
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,4.00733831549205
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,59.96825004123371
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,193.54164604981034
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,12681.76216394524
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,3.8528399053520754
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.025021701302458076
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.015903176727986922
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.846368586926745
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0007316943104011425
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1764.7712134938959
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1336381910735201
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,4.3183676609361745
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,57.68916322770015
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,9.425530759230577
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,569.4892505223887
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.22835021442182407
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.02768060292816606
original_glrlm_RunEntropy,glrlm,RunEntropy,4.90570694386212
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,5919.387112344002
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.3986647952028755
original_glrlm_RunPercentage,glrlm,RunPercentage,0.5447893274464279
original_glrlm_RunVariance,glrlm,RunVariance,3.634989196210123
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.6206648545542007
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,33.945550709806156
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.01928637901535359
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,17.415300546448087
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.09516557675654692
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,9.934844277225356
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,53.43715846994535
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,351932.91803278687
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,20690896.81967213
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,6927.471059446672
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.07245319018149102
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,41.85245901639344
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.22870196183821553
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.4938498342422864
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,25.61753626985075
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.03674948532576132
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.9261279037947645
original_glszm_ZonePercentage,glszm,ZonePercentage,0.007545769421078674
original_glszm_ZoneVariance,glszm,ZoneVariance,334370.1510346681
original_ngtdm_Busyness,ngtdm,Busyness,15.315485181645112
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0006238674529737415
original_ngtdm_Complexity,ngtdm,Complexity,39.066114309215564
original_ngtdm_Contrast,ngtdm,Contrast,0.029601924114080837
original_ngtdm_Strength,ngtdm,Strength,0.03393550428743351
