feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,59.18256870151155
original_glcm_ClusterProminence,glcm,ClusterProminence,393.27799463271583
original_glcm_ClusterShade,glcm,ClusterShade,-2.980002194676323
original_glcm_ClusterTendency,glcm,ClusterTendency,12.11082553950426
original_glcm_Contrast,glcm,Contrast,1.539888989250791
original_glcm_Correlation,glcm,Correlation,0.7690671355842235
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.6603900606209083
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.3150343156037456
original_glcm_DifferenceVariance,glcm,DifferenceVariance,1.0260497824621388
original_glcm_Id,glcm,Id,0.7448944346179934
original_glcm_Idm,glcm,Idm,0.7364094428900414
original_glcm_Idmn,glcm,Idmn,0.9905204872965907
original_glcm_Idn,glcm,Idn,0.9531654789926242
original_glcm_Imc1,glcm,Imc1,-0.4444262221075795
original_glcm_Imc2,glcm,Imc2,0.9490823623314935
original_glcm_InverseVariance,glcm,InverseVariance,0.41844465120630203
original_glcm_JointAverage,glcm,JointAverage,7.519095015920349
original_glcm_JointEnergy,glcm,JointEnergy,0.06229843016997551
original_glcm_JointEntropy,glcm,JointEntropy,4.5348149369654
original_glcm_MCC,glcm,MCC,0.8612574774030691
original_glcm_MaximumProbability,glcm,MaximumProbability,0.11527720579129919
original_glcm_SumAverage,glcm,SumAverage,15.038190031840697
original_glcm_SumEntropy,glcm,SumEntropy,3.7468640205574215
original_glcm_SumSquares,glcm,SumSquares,3.4126786321887623
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.120348981431219
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,1585.1556160316675
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.0653618512300704
original_gldm_DependenceVariance,gldm,DependenceVariance,31.535121411555053
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,3529.5497278574962
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.729217222680465
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,58.76735939303975
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,220.165841992413
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,13421.030430479961
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,4.675164603995327
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.02492397152462543
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.01302650929294118
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.6900599319673231
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0005621676636602148
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1711.0293326588705
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.13850825225240476
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,4.117445629162782
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,57.64239521840056
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,10.58662343983944
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,620.86731695225
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.2627633991963672
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.027202023908506453
original_glrlm_RunEntropy,glrlm,RunEntropy,4.958195483807131
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,5177.906864008198
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.3723766176369806
original_glrlm_RunPercentage,glrlm,RunPercentage,0.5102196170974004
original_glrlm_RunVariance,glrlm,RunVariance,4.0156725010708065
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.5915240934450503
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,33.107184176622795
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.018027264022156812
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,15.192592592592593
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.11253772290809327
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,9.666611796982167
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,45.577777777777776
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,611254.8592592593
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,36257682.47407407
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,11785.000703743035
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.07184630576090813
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,35.577777777777776
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.26353909465020575
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.5265253685880661
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,25.3676843625906
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.032818936628156076
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.422910875866784
original_glszm_ZonePercentage,glszm,ZonePercentage,0.005566551212271153
original_glszm_ZoneVariance,glszm,ZoneVariance,578982.7328395062
original_ngtdm_Busyness,ngtdm,Busyness,16.123669316744785
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0006719447464082421
original_ngtdm_Complexity,ngtdm,Complexity,29.61253642938374
original_ngtdm_Contrast,ngtdm,Contrast,0.03001227409839267
original_ngtdm_Strength,ngtdm,Strength,0.03072272574736785
