feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,34.67239314567739
original_glcm_ClusterProminence,glcm,ClusterProminence,320.60742775814794
original_glcm_ClusterShade,glcm,ClusterShade,0.4646896702933936
original_glcm_ClusterTendency,glcm,ClusterTendency,11.176081133428053
original_glcm_Contrast,glcm,Contrast,1.3132168855387283
original_glcm_Correlation,glcm,Correlation,0.7897701554589616
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.7569637518168958
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.3309933268341931
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.563690419735778
original_glcm_Id,glcm,Id,0.710332845667403
original_glcm_Idm,glcm,Idm,0.6771434374637353
original_glcm_Idmn,glcm,Idmn,0.9873640777387773
original_glcm_Idn,glcm,Idn,0.9353446889498143
original_glcm_Imc1,glcm,Imc1,-0.3947711638423964
original_glcm_Imc2,glcm,Imc2,0.9059736869738488
original_glcm_InverseVariance,glcm,InverseVariance,0.3070201924523631
original_glcm_JointAverage,glcm,JointAverage,5.675090698698936
original_glcm_JointEnergy,glcm,JointEnergy,0.06084361882908536
original_glcm_JointEntropy,glcm,JointEntropy,4.57774587654454
original_glcm_MCC,glcm,MCC,0.7930366380861338
original_glcm_MaximumProbability,glcm,MaximumProbability,0.1169646592283684
original_glcm_SumAverage,glcm,SumAverage,11.350181397397872
original_glcm_SumEntropy,glcm,SumEntropy,3.5921286145938893
original_glcm_SumSquares,glcm,SumSquares,3.1223245047416945
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.801460758056764
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,2075.8487547418767
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.0855949511274071
original_gldm_DependenceVariance,gldm,DependenceVariance,32.83296856833584
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,3743.083621969322
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.1938512244120774
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,293.47996041563584
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,10426.630710869207
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,13.729170198478565
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.050969543965838325
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.008249155735520989
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.29399018041038444
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0005076422378324036
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1518.4409053027803
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.14965409444721495
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.378319092938215
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.11513644124269
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,10.947086247310569
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,390.92894615528337
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.5070571409042249
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.05507882346079773
original_glrlm_RunEntropy,glrlm,RunEntropy,4.995963299799543
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,2959.1766689855167
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2806350438735406
original_glrlm_RunPercentage,glrlm,RunPercentage,0.417516715512757
original_glrlm_RunVariance,glrlm,RunVariance,3.6354399454684403
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.43507375585080066
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,15.28764108457636
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.026064615353686846
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.12837247246663946
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,252009.2213740458
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,8292911.083969465
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,9600.929069280244
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.09718478754238476
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.10302550257092456
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,3.9669339350463244
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.009495777363073273
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869
original_glszm_ZonePercentage,glszm,ZonePercentage,0.005401616361537193
original_glszm_ZoneVariance,glszm,ZoneVariance,217736.18926635975
original_ngtdm_Busyness,ngtdm,Busyness,21.312902831504523
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0009272587339018524
original_ngtdm_Complexity,ngtdm,Complexity,23.02240914763824
original_ngtdm_Contrast,ngtdm,Contrast,0.04208880373757616
original_ngtdm_Strength,ngtdm,Strength,0.03190468503966776
