feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,60.43467079963245
original_glcm_ClusterProminence,glcm,ClusterProminence,456.4927269244488
original_glcm_ClusterShade,glcm,ClusterShade,-1.6930248475609697
original_glcm_ClusterTendency,glcm,ClusterTendency,13.242545646667038
original_glcm_Contrast,glcm,Contrast,0.9399236130579338
original_glcm_Correlation,glcm,Correlation,0.8659209259961321
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.5740639189037094
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.3338925999082594
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.5684900890430913
original_glcm_Id,glcm,Id,0.7590655996377875
original_glcm_Idm,glcm,Idm,0.7481859780570747
original_glcm_Idmn,glcm,Idmn,0.9946295125380383
original_glcm_Idn,glcm,Idn,0.9606212816775125
original_glcm_Imc1,glcm,Imc1,-0.4230736683341683
original_glcm_Imc2,glcm,Imc2,0.9451234039169072
original_glcm_InverseVariance,glcm,InverseVariance,0.3848575881380359
original_glcm_JointAverage,glcm,JointAverage,7.573451628058584
original_glcm_JointEnergy,glcm,JointEnergy,0.05992539099723803
original_glcm_JointEntropy,glcm,JointEntropy,4.6482646395133065
original_glcm_MCC,glcm,MCC,0.8788437152592792
original_glcm_MaximumProbability,glcm,MaximumProbability,0.12168734706478289
original_glcm_SumAverage,glcm,SumAverage,15.146903256117172
original_glcm_SumEntropy,glcm,SumEntropy,3.830690434589485
original_glcm_SumSquares,glcm,SumSquares,3.545617314931243
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.3863934422085755
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,1820.3681895651218
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.05004035927112875
original_gldm_DependenceVariance,gldm,DependenceVariance,33.00825623655994
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,5169.792951784046
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.774358926659837
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,59.95098686019023
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,243.19847160371654
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,15460.045384573094
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,4.937918102236495
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.023593797834295525
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.013799635984686358
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.7087898274418168
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0005679846903751094
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,2359.5703436042195
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1350911873724676
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,4.133517489008324
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,57.90549294328919
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,10.160965484211006
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,617.5878088782497
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.22792411603797355
