feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,58.915718745105465
original_glcm_ClusterProminence,glcm,ClusterProminence,376.3636461526285
original_glcm_ClusterShade,glcm,ClusterShade,-1.4416153040918256
original_glcm_ClusterTendency,glcm,ClusterTendency,12.001244575964817
original_glcm_Contrast,glcm,Contrast,0.878383342396847
original_glcm_Correlation,glcm,Correlation,0.8615658574083919
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.5063672440748755
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.2384521409868532
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.589087877016079
original_glcm_Id,glcm,Id,0.7897723882291676
original_glcm_Idm,glcm,Idm,0.7817114143255084
original_glcm_Idmn,glcm,Idmn,0.9941995615091387
original_glcm_Idn,glcm,Idn,0.9629048577753703
original_glcm_Imc1,glcm,Imc1,-0.47394961698611426
original_glcm_Imc2,glcm,Imc2,0.9591938520777886
original_glcm_InverseVariance,glcm,InverseVariance,0.344552389183765
original_glcm_JointAverage,glcm,JointAverage,7.492195495708346
original_glcm_JointEnergy,glcm,JointEnergy,0.0704158730749568
original_glcm_JointEntropy,glcm,JointEntropy,4.391933294060699
original_glcm_MCC,glcm,MCC,0.8829771738595652
original_glcm_MaximumProbability,glcm,MaximumProbability,0.13270603810510453
original_glcm_SumAverage,glcm,SumAverage,14.984390991416692
original_glcm_SumEntropy,glcm,SumEntropy,3.735644460765079
original_glcm_SumSquares,glcm,SumSquares,3.2199069795904167
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.2215104250120605
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,1940.8157677717302
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.053351359826591074
original_gldm_DependenceVariance,gldm,DependenceVariance,32.97234391030091
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,5400.429765242729
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.458788798216886
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,58.335532464676454
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,284.09263840782893
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,17272.88460058277
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,5.900733085088391
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.02362565406543764
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.01068528073379043
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.5303406463475764
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0004285324404131246
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,2160.3608376402194
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1389997668310841
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.899290908191833
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,56.35889441425324
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,12.528307406796133
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,733.6106585500095
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.2852571345226936
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.026190981074019112
original_glrlm_RunEntropy,glrlm,RunEntropy,5.247688579276874
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,4943.74285847493
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2918733254400779
original_glrlm_RunPercentage,glrlm,RunPercentage,0.42897017216660954
original_glrlm_RunVariance,glrlm,RunVariance,4.89887858259234
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.5205113969109971
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,27.70838972287673
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.015689782622808686
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,24.333333333333332
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.119281045751634
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,7.055050941945407
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,41.94607843137255
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,883441.4215686275
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,52352520.97058824
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,16839.684169338612
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.057353385269269426
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,47.627450980392155
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.23346789696270664
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.4918651706367509
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,23.147931069405832
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.026651672760151162
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.6836293741001835
original_glszm_ZonePercentage,glszm,ZonePercentage,0.005607784924954643
original_glszm_ZoneVariance,glszm,ZoneVariance,851642.1404267589
original_ngtdm_Busyness,ngtdm,Busyness,22.622523807218396
original_ngtdm_Coarseness,ngtdm,Coarseness,0.000477550220296745
original_ngtdm_Complexity,ngtdm,Complexity,25.481204000896543
original_ngtdm_Contrast,ngtdm,Contrast,0.022704702155648855
original_ngtdm_Strength,ngtdm,Strength,0.024668567178609574
