feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,34.74398626181157
original_glcm_ClusterProminence,glcm,ClusterProminence,328.5988366830746
original_glcm_ClusterShade,glcm,ClusterShade,0.4542942654109194
original_glcm_ClusterTendency,glcm,ClusterTendency,11.317900139463354
original_glcm_Contrast,glcm,Contrast,1.16792739692491
original_glcm_Correlation,glcm,Correlation,0.8129723909433494
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.6876541227857468
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.2597128225869818
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.5119734232864885
original_glcm_Id,glcm,Id,0.7328340227161005
original_glcm_Idm,glcm,Idm,0.7042002660210429
original_glcm_Idmn,glcm,Idmn,0.988752840887214
original_glcm_Idn,glcm,Idn,0.9410770876056476
original_glcm_Imc1,glcm,Imc1,-0.42811674952784473
original_glcm_Imc2,glcm,Imc2,0.9167983746629752
original_glcm_InverseVariance,glcm,InverseVariance,0.2993793672890201
original_glcm_JointAverage,glcm,JointAverage,5.6750743906051175
original_glcm_JointEnergy,glcm,JointEnergy,0.0655015643146917
original_glcm_JointEntropy,glcm,JointEntropy,4.482282144736983
original_glcm_MCC,glcm,MCC,0.8161590963602003
original_glcm_MaximumProbability,glcm,MaximumProbability,0.12477140788261624
original_glcm_SumAverage,glcm,SumAverage,11.350148781210235
original_glcm_SumEntropy,glcm,SumEntropy,3.597234429304922
original_glcm_SumSquares,glcm,SumSquares,3.1214568840970656
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.799402987503875
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,3022.369893891913
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.08308235455197957
original_gldm_DependenceVariance,gldm,DependenceVariance,36.93834474911796
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,5614.625432953983
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.1938512244120774
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,343.6147121886855
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,12214.966903073286
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,16.059810263683172
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.05096954396583833
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.007052284133075032
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.25119591883171183
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0004321981167118601
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,1978.0170312826112
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.1489834108289359
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.406111705239234
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.08185281700987
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,13.450356072764182
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,479.89360553284854
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.6265616827157836
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.055704506823713876
original_glrlm_RunEntropy,glrlm,RunEntropy,5.234586414538915
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,3273.5647619560605
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.24703113265932947
original_glrlm_RunPercentage,glrlm,RunPercentage,0.3649162426995183
original_glrlm_RunVariance,glrlm,RunVariance,4.34982238812889
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.40319195443290834
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,14.169691434063642
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.024723234481711112
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.12837247246663946
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,567020.748091603
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,18659049.938931298
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,21602.09040588055
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.09718478754238476
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,21.748091603053435
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.1660159664355224
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.04578911225374425
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,1.7630817489094777
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.004220345494699233
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.801185001517869
original_glszm_ZonePercentage,glszm,ZonePercentage,0.0036010775743581286
original_glszm_ZoneVariance,glszm,ZoneVariance,489906.4258493095
original_ngtdm_Busyness,ngtdm,Busyness,18.54298158401816
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0010657711763218851
original_ngtdm_Complexity,ngtdm,Complexity,20.085661222462505
original_ngtdm_Contrast,ngtdm,Contrast,0.03676228191614587
original_ngtdm_Strength,ngtdm,Strength,0.0365273850520686
