feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,60.06042420874596
original_glcm_ClusterProminence,glcm,ClusterProminence,506.28948331948936
original_glcm_ClusterShade,glcm,ClusterShade,-3.7896357971565235
original_glcm_ClusterTendency,glcm,ClusterTendency,13.82972080507209
original_glcm_Contrast,glcm,Contrast,0.5893310937865289
original_glcm_Correlation,glcm,Correlation,0.9175559275680811
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.43532273510028185
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.1757681184469866
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.38647566539410116
original_glcm_Id,glcm,Id,0.8040247273598021
original_glcm_Idm,glcm,Idm,0.7971921306700571
original_glcm_Idmn,glcm,Idmn,0.9965908469417741
original_glcm_Idn,glcm,Idn,0.9696057346457008
original_glcm_Imc1,glcm,Imc1,-0.49527786209924896
original_glcm_Imc2,glcm,Imc2,0.969207973337344
original_glcm_InverseVariance,glcm,InverseVariance,0.334369115974868
original_glcm_JointAverage,glcm,JointAverage,7.5332135450027815
original_glcm_JointEnergy,glcm,JointEnergy,0.06843535045638713
original_glcm_JointEntropy,glcm,JointEntropy,4.455887226029924
original_glcm_MCC,glcm,MCC,0.9267770784196472
original_glcm_MaximumProbability,glcm,MaximumProbability,0.1376269164841577
original_glcm_SumAverage,glcm,SumAverage,15.066427090005563
original_glcm_SumEntropy,glcm,SumEntropy,3.8312420535306377
original_glcm_SumSquares,glcm,SumSquares,3.6047629747146552
original_gldm_DependenceEntropy,gldm,DependenceEntropy,7.457506540178506
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,2782.4219693221175
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.04589183521890348
original_gldm_DependenceVariance,gldm,DependenceVariance,37.363188577226495
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,8594.129078014184
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.8354677516186153
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,59.650882401451426
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,308.1027214250371
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,19327.815916213094
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,6.37284178243839
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.02452254049518824
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.011543343024484143
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.5533194167850705
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0005550631261362368
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,3239.252477114492
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.13214026700692993
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,4.355290745354955
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,56.84673673995048
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,12.651918466903071
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,770.5750178715551
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.28498810754338044
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.028474027993076113
original_glrlm_RunEntropy,glrlm,RunEntropy,5.437712035267395
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,7284.073791254645
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2809775140673808
original_glrlm_RunPercentage,glrlm,RunPercentage,0.4056090536545757
original_glrlm_RunVariance,glrlm,RunVariance,5.351424577360844
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.5203999491351904
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,27.62671187584351
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.017652395482960888
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,40.822454308093995
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.10658604257987989
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,7.343331810837895
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,42.595300261096604
original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,1228157.7597911227
original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,72246203.61096606
original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,23672.74161653251
original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,0.07094072277873845
original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,91.19843342036553
original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,0.23811601415239042
original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,0.4957927652168744
original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,19.685851146386177
original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,0.03374838884268997
original_glszm_ZoneEntropy,glszm,ZoneEntropy,5.952272022710858
original_glszm_ZonePercentage,glszm,ZonePercentage,0.006317004783110671
original_glszm_ZoneVariance,glszm,ZoneVariance,1203097.9604878346
original_ngtdm_Busyness,ngtdm,Busyness,24.728766622891225
original_ngtdm_Coarseness,ngtdm,Coarseness,0.0003873202027853482
original_ngtdm_Complexity,ngtdm,Complexity,22.908935393594547
original_ngtdm_Contrast,ngtdm,Contrast,0.016187460643199154
original_ngtdm_Strength,ngtdm,Strength,0.0235224830643519
