feature,family,short_feature,value
original_glcm_Autocorrelation,glcm,Autocorrelation,35.091777108683296
original_glcm_ClusterProminence,glcm,ClusterProminence,369.39010663466075
original_glcm_ClusterShade,glcm,ClusterShade,0.33912616437234355
original_glcm_ClusterTendency,glcm,ClusterTendency,12.037887296877736
original_glcm_Contrast,glcm,Contrast,0.461212716326517
original_glcm_Correlation,glcm,Correlation,0.9261237649744014
original_glcm_DifferenceAverage,glcm,DifferenceAverage,0.34231529480308776
original_glcm_DifferenceEntropy,glcm,DifferenceEntropy,1.028612205151895
original_glcm_DifferenceVariance,glcm,DifferenceVariance,0.33623773928525486
original_glcm_Id,glcm,Id,0.8478444887881241
original_glcm_Idm,glcm,Idm,0.8407320947507989
original_glcm_Idmn,glcm,Idmn,0.9955115896272093
original_glcm_Idn,glcm,Idn,0.9697697797628094
original_glcm_Imc1,glcm,Imc1,-0.5535130315161265
original_glcm_Imc2,glcm,Imc2,0.9755582837404877
original_glcm_InverseVariance,glcm,InverseVariance,0.24596878009528717
original_glcm_JointAverage,glcm,JointAverage,5.6742908155540395
original_glcm_JointEnergy,glcm,JointEnergy,0.08661599550533203
original_glcm_JointEntropy,glcm,JointEntropy,4.125144629415778
original_glcm_MCC,glcm,MCC,0.928385194161852
original_glcm_MaximumProbability,glcm,MaximumProbability,0.1649365285234561
original_glcm_SumAverage,glcm,SumAverage,11.34858163110808
original_glcm_SumEntropy,glcm,SumEntropy,3.583296134265062
original_glcm_SumSquares,glcm,SumSquares,3.124775003301063
original_gldm_DependenceEntropy,gldm,DependenceEntropy,6.547990036818396
original_gldm_DependenceNonUniformity,gldm,DependenceNonUniformity,6159.373445489032
original_gldm_DependenceNonUniformityNormalized,gldm,DependenceNonUniformityNormalized,0.1015895339846451
original_gldm_DependenceVariance,gldm,DependenceVariance,37.52932242026646
original_gldm_GrayLevelNonUniformity,gldm,GrayLevelNonUniformity,9357.709054923305
original_gldm_GrayLevelVariance,gldm,GrayLevelVariance,3.1938512244120774
original_gldm_HighGrayLevelEmphasis,gldm,HighGrayLevelEmphasis,35.28814118423223
original_gldm_LargeDependenceEmphasis,gldm,LargeDependenceEmphasis,383.72251360712517
original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,LargeDependenceHighGrayLevelEmphasis,13645.63585683655
original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,LargeDependenceLowGrayLevelEmphasis,17.924322315846855
original_gldm_LowGrayLevelEmphasis,gldm,LowGrayLevelEmphasis,0.050969543965838325
original_gldm_SmallDependenceEmphasis,gldm,SmallDependenceEmphasis,0.0060947868511182675
original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,SmallDependenceHighGrayLevelEmphasis,0.21696050956877377
original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,SmallDependenceLowGrayLevelEmphasis,0.0003718428198154253
original_glrlm_GrayLevelNonUniformity,glrlm,GrayLevelNonUniformity,2899.054701944491
original_glrlm_GrayLevelNonUniformityNormalized,glrlm,GrayLevelNonUniformityNormalized,0.14834523267427618
original_glrlm_GrayLevelVariance,glrlm,GrayLevelVariance,3.435999953100764
original_glrlm_HighGrayLevelRunEmphasis,glrlm,HighGrayLevelRunEmphasis,35.04657606718118
original_glrlm_LongRunEmphasis,glrlm,LongRunEmphasis,18.691665194806465
original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,LongRunHighGrayLevelEmphasis,666.1581005018771
original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,LongRunLowGrayLevelEmphasis,0.8789976091437436
original_glrlm_LowGrayLevelRunEmphasis,glrlm,LowGrayLevelRunEmphasis,0.056379535367681886
original_glrlm_RunEntropy,glrlm,RunEntropy,5.43794118459407
original_glrlm_RunLengthNonUniformity,glrlm,RunLengthNonUniformity,4219.658574331612
original_glrlm_RunLengthNonUniformityNormalized,glrlm,RunLengthNonUniformityNormalized,0.2251612707175178
original_glrlm_RunPercentage,glrlm,RunPercentage,0.32283586444892737
original_glrlm_RunVariance,glrlm,RunVariance,5.684700196915913
original_glrlm_ShortRunEmphasis,glrlm,ShortRunEmphasis,0.3787440547515479
original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,ShortRunHighGrayLevelEmphasis,13.325290818389682
original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,ShortRunLowGrayLevelEmphasis,0.023724470687258987
original_glszm_GrayLevelNonUniformity,glszm,GrayLevelNonUniformity,16.81679389312977
original_glszm_GrayLevelNonUniformityNormalized,glszm,GrayLevelNonUniformityNormalized,0.12837247246663946
original_glszm_GrayLevelVariance,glszm,GrayLevelVariance,5.749198764640755
original_glszm_HighGrayLevelZoneEmphasis,glszm,HighGrayLevelZoneEmphasis,37.229007633587784
