spacing_label,method,family,n_features,n_changed_vs_native,median_abs_diff_vs_native,median_rel_diff_vs_native,spearman_corr_with_native,spearman_corr_with_resample_linear,pearson_corr_with_resample_linear
mild_z2,native_original,glcm,24,0,0.0,0.0,0.9999999999999999,0.9513043478260867,0.9991326538430721
mild_z2,native_original,gldm,14,0,0.0,0.0,1.0,0.9956043956043955,0.9981818389285317
mild_z2,native_original,glrlm,16,0,0.0,0.0,1.0,1.0,0.9996846601423246
mild_z2,native_original,glszm,16,0,0.0,0.0,1.0,0.9941176470588234,0.9998658715854343
mild_z2,native_original,ngtdm,5,0,0.0,0.0,0.9999999999999999,0.8999999999999998,0.9503883899975981
mild_z2,resample_bspline,glcm,24,24,0.0930616063443831,0.08880261622463308,0.957391304347826,0.997391304347826,0.9998392240013229
mild_z2,resample_bspline,gldm,14,14,2.3433833899585004,0.3518530749793356,0.9868131868131869,0.9956043956043955,0.9999727231820953
mild_z2,resample_bspline,glrlm,16,16,0.5190887375724786,0.3096927335865127,1.0,1.0,0.9993191580140992
mild_z2,resample_bspline,glszm,16,16,2.392076082951459,0.3024195405484106,0.9941176470588234,1.0,0.9999999725560219
mild_z2,resample_bspline,ngtdm,5,5,0.019594269693838703,0.31025430067339743,0.8999999999999998,0.9999999999999999,0.9888255021154058
mild_z2,resample_linear,glcm,24,24,0.10151409846516896,0.1009540111985238,0.9513043478260867,0.9999999999999999,1.0
mild_z2,resample_linear,gldm,14,14,1.793160494231082,0.38421709208207855,0.9956043956043955,1.0,1.0
mild_z2,resample_linear,glrlm,16,16,0.6411812280254359,0.28554652821721227,1.0,1.0,1.0
mild_z2,resample_linear,glszm,16,16,2.770807166439296,0.3722710113216031,0.9941176470588234,1.0,0.9999999999999998
mild_z2,resample_linear,ngtdm,5,5,0.0191839197095269,0.14921234386108068,0.8999999999999998,0.9999999999999999,0.9999999999999999
mild_z2,resample_nearest,glcm,24,24,0.0990927465862817,0.11453768917831812,0.9660869565217389,0.9434782608695651,0.9986545829671997
mild_z2,resample_nearest,gldm,14,11,0.21164926539972545,0.4379258400819348,1.0,0.9956043956043955,0.9933576247588752
mild_z2,resample_nearest,glrlm,16,16,0.1547640089572463,0.21099475009663005,0.9794117647058824,0.9794117647058824,0.9867375721101533
mild_z2,resample_nearest,glszm,16,8,0.0027008081807685996,0.2500000000000023,0.9823529411764707,0.9705882352941176,0.9998658043265424
mild_z2,resample_nearest,ngtdm,5,5,0.0187622239041026,0.19175523332318528,0.8999999999999998,0.7999999999999999,0.7426409273091321
mild_z2,voxel_spacing_aware,glcm,24,24,0.027184965218886303,0.02790305909533277,0.9965217391304346,0.9565217391304346,0.9990171814844682
mild_z2,voxel_spacing_aware,gldm,14,11,0.21164926539972545,0.4379258400819348,1.0,0.9956043956043955,0.9933576247588752
mild_z2,voxel_spacing_aware,glrlm,16,16,0.1547640089572463,0.21099475009663005,0.9794117647058824,0.9794117647058824,0.9867375721101533
mild_z2,voxel_spacing_aware,glszm,16,8,0.0027008081807685996,0.2500000000000023,0.9823529411764707,0.9705882352941176,0.9998658043265424
mild_z2,voxel_spacing_aware,ngtdm,5,5,0.007107390070343403,0.14559938941938996,0.9999999999999999,0.8999999999999998,0.9510110932269006
moderate_z3,native_original,glcm,24,0,0.0,0.0,0.9999999999999999,0.9643478260869565,0.9989026852283525
moderate_z3,native_original,gldm,14,0,0.0,0.0,1.0,0.9956043956043955,0.999354817380192
moderate_z3,native_original,glrlm,16,0,0.0,0.0,1.0,0.9970588235294118,0.9939564263681373
moderate_z3,native_original,glszm,16,0,0.0,0.0,1.0,0.9941176470588234,0.9998688208177532
moderate_z3,native_original,ngtdm,5,0,0.0,0.0,0.9999999999999999,0.8999999999999998,0.9995840596727237
moderate_z3,resample_bspline,glcm,24,24,0.10359162782573489,0.124395733637336,0.9739130434782608,0.9982608695652172,0.999703000544465
moderate_z3,resample_bspline,gldm,14,14,1.7130067584764697,0.3811919589655029,0.9956043956043955,1.0,0.9997795830329598
moderate_z3,resample_bspline,glrlm,16,16,0.7306381878239412,0.30245095744355976,1.0,0.9970588235294118,0.9966109677689575
moderate_z3,resample_bspline,glszm,16,16,4.126962111488805,0.33162797174777114,0.9941176470588234,1.0,0.9999999937591374
moderate_z3,resample_bspline,ngtdm,5,5,0.0284159496262158,0.23502568925010203,0.8999999999999998,0.9999999999999999,0.9797784614307298
moderate_z3,resample_linear,glcm,24,24,0.12772332038708648,0.1338049276994539,0.9643478260869565,0.9999999999999999,1.0
moderate_z3,resample_linear,gldm,14,14,1.1491577584522634,0.41045280675142815,0.9956043956043955,1.0,0.9999999999999998
